scenario_id,scenario_title,hardware,workload,M,N,K,actual_cycles,tiledataflow_sim_cycles,tileflow_sim_cycles,llmcompass_cycles,tiledataflow_mape_percent,tileflow_mape_percent,llmcompass_mape_percent
a100_gemm,A100 GEMM,A100,GEMM,2048,1024,1024,57366,55058,43109,37995,4.023289,24.852700,33.767388
a100_gemm,A100 GEMM,A100,GEMM,2048,1024,1536,79622,78130,63498,55451,1.873854,20.250684,30.357188
a100_gemm,A100 GEMM,A100,GEMM,2048,1024,2048,101610,101202,83887,72907,0.401535,17.442181,28.248204
a100_gemm,A100 GEMM,A100,GEMM,2048,1536,512,39173,37006,33497,22035,5.531871,14.489572,43.749521
a100_gemm,A100 GEMM,A100,GEMM,2048,1536,1024,61233,60078,63498,39491,1.886238,3.698986,35.506998
a100_gemm,A100 GEMM,A100,GEMM,2048,1536,1536,83460,83150,93499,56947,0.371435,12.028517,31.767314
a100_gemm,A100 GEMM,A100,GEMM,2048,1536,2048,105243,106222,123500,74403,0.930228,17.347472,29.303612
a100_gemm,A100 GEMM,A100,GEMM,2048,2048,512,73014,69915,44274,41101,4.244391,39.362314,43.708056
a100_gemm,A100 GEMM,A100,GEMM,2048,2048,1024,117329,116059,83887,76013,1.082426,28.502757,35.213801
a100_gemm,A100 GEMM,A100,GEMM,2048,2048,1536,163490,162203,123500,110925,0.787204,24.460212,32.151814
a100_gemm,A100 GEMM,A100,GEMM,2048,2048,2048,207637,208347,163112,145837,0.341943,21.443673,29.763481
h100_gemm,H100 GEMM,H100,GEMM,512,512,512,15643,15806,12289,17637,1.042000,21.440900,12.746916
h100_gemm,H100 GEMM,H100,GEMM,512,512,1024,26572,26758,24576,34973,0.699985,7.511666,31.615987
h100_gemm,H100 GEMM,H100,GEMM,512,512,1536,37532,37710,36864,52309,0.474262,1.779815,39.371736
h100_gemm,H100 GEMM,H100,GEMM,512,512,2048,48419,48662,49152,69645,0.501869,1.513869,43.838163
h100_gemm,H100 GEMM,H100,GEMM,512,1024,512,15585,15806,12289,17981,1.418030,21.148540,15.373757
h100_gemm,H100 GEMM,H100,GEMM,512,1024,1024,26499,26758,24576,35317,0.977395,7.256878,33.276727
h100_gemm,H100 GEMM,H100,GEMM,512,1024,1536,37558,37710,36864,52653,0.404707,1.847809,40.191171
h100_gemm,H100 GEMM,H100,GEMM,512,1024,2048,48474,48662,49152,69989,0.387837,1.398688,44.384619
h100_gemm,H100 GEMM,H100,GEMM,512,1536,512,15679,15807,12289,18325,0.816379,21.621277,16.876076
h100_gemm,H100 GEMM,H100,GEMM,512,1536,1024,26698,26759,24576,35661,0.228482,7.948161,33.571803
h100_gemm,H100 GEMM,H100,GEMM,512,1536,1536,37597,37711,36864,52997,0.303216,1.949624,40.960715
h100_gemm,H100 GEMM,H100,GEMM,512,1536,2048,48595,48663,49152,70333,0.139932,1.146208,44.732997
h100_gemm,H100 GEMM,H100,GEMM,512,2048,512,15770,15818,12562,18670,0.304375,20.342422,18.389347
h100_gemm,H100 GEMM,H100,GEMM,512,2048,1024,26770,26770,24849,36006,0.000000,7.175943,34.501307
h100_gemm,H100 GEMM,H100,GEMM,512,2048,1536,37659,37722,37137,53342,0.167291,1.386123,41.644760
h100_gemm,H100 GEMM,H100,GEMM,512,2048,2048,48674,48674,49425,70678,0.000000,1.542918,45.206887
h100_gemm,H100 GEMM,H100,GEMM,1024,512,512,15577,15806,12289,17981,1.470116,21.108044,15.433010
h100_gemm,H100 GEMM,H100,GEMM,1024,512,1024,26546,26758,24576,35317,0.798614,7.421080,33.040759
h100_gemm,H100 GEMM,H100,GEMM,1024,512,1536,37458,37710,36864,52653,0.672753,1.585776,40.565433
h100_gemm,H100 GEMM,H100,GEMM,1024,512,2048,48410,48662,49152,69989,0.520554,1.532741,44.575501
h100_gemm,H100 GEMM,H100,GEMM,1024,1024,512,15796,15818,12536,18631,0.139276,20.638136,17.947582
