batch,heads_q,heads_kv,seq_q,seq_kv,actual_cycles,sim_cycles
1,8,8,512,512,21052,13759
1,8,8,1024,1024,34771,54441
1,8,8,1536,1536,49766,122048
1,8,8,2048,2048,62300,216581
1,16,16,512,512,22492,27515
1,16,16,1024,1024,36993,108878
1,16,16,1536,1536,94291,244094
1,16,16,2048,2048,119198,433158
1,32,32,512,512,24363,55028
1,32,32,1024,1024,71635,217754
1,32,32,1536,1536,142767,488185
1,32,32,2048,2048,234830,866317
