batch,heads_q,heads_kv,seq_q,seq_kv,actual_cycles,sim_cycles
1,8,8,512,512,21052,8192
1,8,8,1024,1024,34771,32768
1,8,8,1536,1536,49766,73728
1,8,8,2048,2048,62300,131072
1,16,16,512,512,22492,16384
1,16,16,1024,1024,36993,65536
1,16,16,1536,1536,94291,147456
1,16,16,2048,2048,119198,262144
1,32,32,512,512,24363,32768
1,32,32,1024,1024,71635,131072
1,32,32,1536,1536,142767,294912
1,32,32,2048,2048,234830,524288
