batch,heads,seq_len,actual_cycles,sim_cycles
16,128,1024,80843,34816
16,128,2048,148095,69632
16,128,4096,284109,139264
16,128,8192,554290,278528
32,128,1024,82197,69632
32,128,2048,150154,139264
32,128,4096,285458,278528
32,128,8192,555728,557056
64,128,1024,87835,139264
64,128,2048,155508,278528
64,128,4096,289457,557056
64,128,8192,557894,1114112
